Race,Subrace,Type,Names
Human (Cygnaran),Caspian,Male,"Alain, Alger, Alnor, Alvy, Amery, Ansel, Anson, Ard, Arias, Ardin, Arkin, Arland, Artis, Baen, Bain, Bairn, Barden, Barigan, Barlowe, Bartley, Bayden, Beck, Bergin, Birk, Bixler, Blayde, Blythe, Bolden, Boren, Bors, Bowden, Brandel, Brill, Brock, Brone, Brue, Brunner, Bryson, Cacey, Caine, Cam, Camden, Casner, Cobb, Creedan, Creel, Crowle, Dalmer, Dardan, Degar, Delp, Dexer, Dextrel, Dorn, Dowd, Doyle, Druce, Dugger, Dunley, Durwin, Eckert, Egan, Elias, Elgin, Ennis, Everett, Fane, Fargas, Finch, Fitch, Gade, Gadsden, Galt, Garrett, Garrick, Godwin, Griffon, Gum, Gunner, Hamil, Harlan, Hawke, Heremon, Icabod, Jagger, Jarok, Jonas, Julian, Kade, Kell, Kerne, Kerr, Leto, Lon, Mago, Malek, Milo, Nash, Nolan, Odger, Olson, Pandor, Perth, Phineas, Radnor, Regan, Retho, Reynard, Rowe, Rudd, Scarle, Sebastian, Sorley, Timeck, Ulfass, Vahn, Victor, Vidor, Vinter, Waldron, Wolfe, Wyatt"
Human (Cygnaran),Caspian,Female,"Alanna, Alexia, Alley, Amery, Ashlan, Ashley, Bailey, Betilda, Brona, Cammy, Canice, Cara, Caylan, Cecily, Creena, Dara, Darsey, Delaney, Derry, Desle, Devlin, Dunla, Elatha, Elspeth, Emma, Enda, Erris, Evelyn, Gale, Gwen, Haley, Henna, Islene, Jenett, Jordan, Juliana, Katerine, Kealey, Kearey, Keavey, Kelsey, Kiltey, Lorna, Matilda, Meara, Morna, Muriel, Nally, Orla, Renny, Rosaleen, Rowan, Sabina, Shay, Stianna, Tara, Torey, Tressa, Una, Vora, Wren"
Human (Cygnaran),Midlunder,Male,"Alain, Alger, Alnor, Alvy, Amery, Ansel, Anson, Ard, Arias, Ardin, Arkin, Arland, Artis, Baen, Bain, Bairn, Barden, Barigan, Barlowe, Bartley, Bayden, Beck, Bergin, Birk, Bixler, Blayde, Blythe, Bolden, Boren, Bors, Bowden, Brandel, Brill, Brock, Brone, Brue, Brunner, Bryson, Cacey, Caine, Cam, Camden, Casner, Cobb, Creedan, Creel, Crowle, Dalmer, Dardan, Degar, Delp, Dexer, Dextrel, Dorn, Dowd, Doyle, Druce, Dugger, Dunley, Durwin, Eckert, Egan, Elias, Elgin, Ennis, Everett, Fane, Fargas, Finch, Fitch, Gade, Gadsden, Galt, Garrett, Garrick, Godwin, Griffon, Gum, Gunner, Hamil, Harlan, Hawke, Heremon, Icabod, Jagger, Jarok, Jonas, Julian, Kade, Kell, Kerne, Kerr, Leto, Lon, Mago, Malek, Milo, Nash, Nolan, Odger, Olson, Pandor, Perth, Phineas, Radnor, Regan, Retho, Reynard, Rowe, Rudd, Scarle, Sebastian, Sorley, Timeck, Ulfass, Vahn, Victor, Vidor, Vinter, Waldron, Wolfe, Wyatt"
Human (Cygnaran),Midlunder,Female,"Alanna, Alexia, Alley, Amery, Ashlan, Ashley, Bailey, Betilda, Brona, Cammy, Canice, Cara, Caylan, Cecily, Creena, Dara, Darsey, Delaney, Derry, Desle, Devlin, Dunla, Elatha, Elspeth, Emma, Enda, Erris, Evelyn, Gale, Gwen, Haley, Henna, Islene, Jenett, Jordan, Juliana, Katerine, Kealey, Kearey, Keavey, Kelsey, Kiltey, Lorna, Matilda, Meara, Morna, Muriel, Nally, Orla, Renny, Rosaleen, Rowan, Sabina, Shay, Stianna, Tara, Torey, Tressa, Una, Vora, Wren"
Human (Cygnaran),Morridane,Male,"Alain, Alger, Alnor, Alvy, Amery, Ansel, Anson, Ard, Arias, Ardin, Arkin, Arland, Artis, Baen, Bain, Bairn, Barden, Barigan, Barlowe, Bartley, Bayden, Beck, Bergin, Birk, Bixler, Blayde, Blythe, Bolden, Boren, Bors, Bowden, Brandel, Brill, Brock, Brone, Brue, Brunner, Bryson, Cacey, Caine, Cam, Camden, Casner, Cobb, Creedan, Creel, Crowle, Dalmer, Dardan, Degar, Delp, Dexer, Dextrel, Dorn, Dowd, Doyle, Druce, Dugger, Dunley, Durwin, Eckert, Egan, Elias, Elgin, Ennis, Everett, Fane, Fargas, Finch, Fitch, Gade, Gadsden, Galt, Garrett, Garrick, Godwin, Griffon, Gum, Gunner, Hamil, Harlan, Hawke, Heremon, Icabod, Jagger, Jarok, Jonas, Julian, Kade, Kell, Kerne, Kerr, Leto, Lon, Mago, Malek, Milo, Nash, Nolan, Odger, Olson, Pandor, Perth, Phineas, Radnor, Regan, Retho, Reynard, Rowe, Rudd, Scarle, Sebastian, Sorley, Timeck, Ulfass, Vahn, Victor, Vidor, Vinter, Waldron, Wolfe, Wyatt"
Human (Cygnaran),Morridane,Female,"Alanna, Alexia, Alley, Amery, Ashlan, Ashley, Bailey, Betilda, Brona, Cammy, Canice, Cara, Caylan, Cecily, Creena, Dara, Darsey, Delaney, Derry, Desle, Devlin, Dunla, Elatha, Elspeth, Emma, Enda, Erris, Evelyn, Gale, Gwen, Haley, Henna, Islene, Jenett, Jordan, Juliana, Katerine, Kealey, Kearey, Keavey, Kelsey, Kiltey, Lorna, Matilda, Meara, Morna, Muriel, Nally, Orla, Renny, Rosaleen, Rowan, Sabina, Shay, Stianna, Tara, Torey, Tressa, Una, Vora, Wren"
Human (Protectorate),Sulese,Male,"Alain, Alger, Alnor, Alvy, Amery, Ansel, Anson, Ard, Arias, Ardin, Arkin, Arland, Artis, Baen, Bain, Bairn, Barden, Barigan, Barlowe, Bartley, Bayden, Beck, Bergin, Birk, Bixler, Blayde, Blythe, Bolden, Boren, Bors, Bowden, Brandel, Brill, Brock, Brone, Brue, Brunner, Bryson, Cacey, Caine, Cam, Camden, Casner, Cobb, Creedan, Creel, Crowle, Dalmer, Dardan, Degar, Delp, Dexer, Dextrel, Dorn, Dowd, Doyle, Druce, Dugger, Dunley, Durwin, Eckert, Egan, Elias, Elgin, Ennis, Everett, Fane, Fargas, Finch, Fitch, Gade, Gadsden, Galt, Garrett, Garrick, Godwin, Griffon, Gum, Gunner, Hamil, Harlan, Hawke, Heremon, Icabod, Jagger, Jarok, Jonas, Julian, Kade, Kell, Kerne, Kerr, Leto, Lon, Mago, Malek, Milo, Nash, Nolan, Odger, Olson, Pandor, Perth, Phineas, Radnor, Regan, Retho, Reynard, Rowe, Rudd, Scarle, Sebastian, Sorley, Timeck, Ulfass, Vahn, Victor, Vidor, Vinter, Waldron, Wolfe, Wyatt"
Human (Protectorate),Sulese,Female,"Alanna, Alexia, Alley, Amery, Ashlan, Ashley, Bailey, Betilda, Brona, Cammy, Canice, Cara, Caylan, Cecily, Creena, Dara, Darsey, Delaney, Derry, Desle, Devlin, Dunla, Elatha, Elspeth, Emma, Enda, Erris, Evelyn, Gale, Gwen, Haley, Henna, Islene, Jenett, Jordan, Juliana, Katerine, Kealey, Kearey, Keavey, Kelsey, Kiltey, Lorna, Matilda, Meara, Morna, Muriel, Nally, Orla, Renny, Rosaleen, Rowan, Sabina, Shay, Stianna, Tara, Torey, Tressa, Una, Vora, Wren"
Human (Ordic),Thurian,Male,"Aidan, Ardan, Bastian, Blake, Bradig, Branduff, Brogan, Brosnan, Byrleigh, Cagneigh, Colm, Conleth, Conor, Cormick, Cronan, Cullin, Darian, Darragh, Decklan, Deegan, Dermid, Dermot, Dougal, Dougan, Durgan, Eilish, Fergus, Finnegan, Flynn, Gervin, Gorman, Gralan, Hagan, Hanagan, Hogan, Ian, Keegan, Killian, Kirwin, Larkin, Lonan, Lorcan, Lorgan, Luan, Mairtin, Morgan, Nolan, Odran, Olan, Ossian, Piran, Quinn, Quinlan, Rogan, Ronan, Ryleigh"
Human (Ordic),Thurian,Female,"Aideen, Ansleigh, Beara, Boand, Brennan, Caelan, Caitlin, Carleigh, Carolan, Clancy, Dana, Devlin, Eithne, Evlin, Gillian, Jelyan, Jerilyn, Kaelin, Keehan, Kennan, Kenseigh, Kerin, Kerry, Kileigh, Lacy, Leigan, Lennon, Mara, Meara, Megan, Milish, Niall, Nivin, Paddy, Regan, Roshean, Shannon, Teagan, Tiernan"
